,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,PopularityUS2017
108,Norwich_terrier,Terrier,Terrier,5,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1700.0,38.0,3.0,105.0
109,Nova_scotia_duck-tolling_retriever,Sporting,Gun Dogs,20,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1900.0,,5.0,89.0
110,Old_english_sheepdog,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350.0,63.0,4.0,70.0
111,Otterhound,Hound,Scenthound,41,"Amiable, Boisterous, Even-tempered",550.0,46.0,2.0,186.0
112,Papillon,Toy,Companion,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",500.0,8.0,3.0,53.0
113,Pekingese,Toy,Companion,4,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",700.0,73.0,3.0,88.0
114,Petit_basset_griffon_vendeen,Hound,Scenthound,16,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1400.0,62.0,3.0,160.0
115,Pharaoh_hound,Hound,Sight,23,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1900.0,37.0,2.0,174.0
116,Plott,Hound,Scenthound,26,"Alert, Bold, Courageous, Loyal",400.0,,3.0,166.0
117,Pointer,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450.0,43.0,4.0,113.0
118,Pomeranian,Toy,Companion,2,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",700.0,23.0,3.0,22.0
119,Poodle,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250.0,2.0,4.0,7.0
120,Portuguese_water_dog,Working,Gun,22,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",2650.0,,4.0,54.0
121,Saint_bernard,Working,Guardian,66,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",1650.0,65.0,3.0,48.0
122,Miniature_schnauzer,Terrier,Companion,8,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",800.0,,,18.0
123,Chinese_shar-pei,Non Sporting,Northern,22,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",1100.0,51.0,3.0,64.0
124,Silky_terrier,Toy,Terrier,5,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",700.0,37.0,3.0,106.0
125,Smooth_fox_terrier,Terrier,Terrier,8,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850.0,40.0,3.0,122.0
126,Tibetan_mastiff,Working,Guardian,71,"Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal",3000.0,,6.0,153.0
127,Cardigan_welsh_corgi,Herding,Herding,16,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0,68.0
128,Pembroke_welsh_corgi,Herding,Herding,12,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0,68.0
129,Welsh_springer_spaniel,Sporting,Gun,18,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",1300.0,31.0,4.0,133.0
130,Wirehaired_pointing_griffon,Sporting,Gun,25,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",700.0,46.0,5.0,65.0
131,Xoloitzcuintli,Non Sporting,Sight,11,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",700.0,,3.0,143.0
132,Yorkshire_terrier_yorkie,Toy,Companion,3,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",800.0,27.0,3.0,9.0
