BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Parson_russell_terrier,,Terrier,Terrier,7,"Energetic, Bold, Eager, Happy, Intelligent, Obedient",500,,3,,,,119
Japanese_chin,Japanese Spaniel,Toy,Companion,5,"Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful",400,62,3,,,,108
Keeshond,,Non Sporting,Northern,18,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",900,16,4,,,,87
Kerry_blue_terrier,,Terrier,Terrier,17,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent",550,35,5,,,,129
Komondor,,Working,Guardian,59,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",1000,,6,,,,163
Kuvasz,,Working,Guardian,49,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",1350,42,6,,,,157
Labrador_retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Lakeland_terrier,,Terrier,Terrier,8,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",1500,62,3,,,,138
Leonberger,,Working,Guardian,64,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",1750,,5,,,,100
Lhasa_apso,,Non Sporting,Companion,6,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",600,68,3,,,,77
Lowchen,,Non Sporting,Companion,6,"Active, Familial, Friendly, Happy, Playful",400,,3,,,,169
Maltese,Maltese Dog,Toy,Companion,4,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered",700,59,3,,,,33
Manchester_terrier,,Terrier,Terrier,6,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",800,32,3,,,,135
Mastiff,,Working,Guardian,90,"Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective",1350,72,6,,,,28
Neapolitan_mastiff,,Working,Guardian,60,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",1750,,6,,1,,107
Newfoundland,Newfoundland,Working,Guardian,65,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",1750,34,5,,,,36
Norfolk_terrier,,Terrier,Terrier,5,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",2250,56,3,,,,128
Norwegian_buhund,,Herding,Northern,16,"Agile, Courageous, Energetic, Friendly, Fun-loving",900,,4,,,,170
Norwegian_elkhound,,Hound,Northern,26,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",600,36,6,,,,91
Norwegian_lundehund,,Non Sporting,Northern,8,"Alert, Energetic, Loyal, Protective",500,,4,,,,190
Norwich_terrier,,Terrier,Terrier,5,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1700,38,3,,,,105
Nova_scotia_duck-tolling_retriever,,Sporting,Gun Dogs,20,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1900,,5,,,,89
Old_english_sheepdog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350,63,4,,,,70
Otterhound,,Hound,Scenthound,41,"Amiable, Boisterous, Even-tempered",550,46,2,,,,186
Papillon,,Toy,Companion,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",500,8,3,,,,53
Pekingese,,Toy,Companion,4,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",700,73,3,,,,88
Petit_basset_griffon_vendeen,,Hound,Scenthound,16,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1400,62,3,,,,160
Pharaoh_hound,,Hound,Sight,23,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1900,37,2,,,,174
Plott,,Hound,Scenthound,26,"Alert, Bold, Courageous, Loyal",400,,3,,,,166
Pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,43,4,,,,113
Pomeranian,,Toy,Companion,2,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",700,23,3,,,4,22
Poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,1,7
Portuguese_water_dog,,Working,Gun,22,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",2650,,4,,,,54
